;alias;target;tab;group;matplotlib;mayavi;dependencies;module;pkg_name;func_args
get_load_cell_events;;MEEG;Compute;PP-Trigger;False;False;;trigger_funcs;;meeg, min_duration, shortest_event, adjust_timeline_by_msec
get_load_cell_events_regression;;MEEG;Compute;PP-Trigger;False;False;;trigger_funcs;;meeg, min_duration, shortest_event, adjust_timeline_by_msec, diff_window, min_ev_distance, max_ev_distance, regression_range, regression_degree, n_jobs
get_load_cell_events_regression_baseline;;MEEG;Compute;PP-Trigger;False;False;;trigger_funcs;;meeg,min_duration,shortest_event,adjust_timeline_by_msec,diff_window,min_ev_distance,max_ev_distance,len_baseline,baseline_limit,regression_degree,trig_channel,n_jobs
plot_load_cell_trigger_raw;;MEEG;Plot;PP-Trigger;True;False;;trigger_funcs;;meeg, min_duration, shortest_event, adjust_timeline_by_msec
plot_part_trigger;;MEEG;Plot;PP-Trigger;True;False;;trigger_funcs;;meeg, show_plots
plot_load_cell_ave;;MEEG;Plot;PP-Trigger;True;False;;trigger_funcs;;meeg,trig_plt_time,show_plots,apply_savgol
plot_ica_trigger;;MEEG;Plot;PP-Trigger;True;False;;trigger_funcs;;meeg, show_plots
plot_evokeds_half;;MEEG;Plot;PP-Trigger;True;False;;trigger_funcs;;meeg, show_plots
change_trig_channel_type;;MEEG;Orga;PP-Trigger;False;False;;trigger_funcs;;meeg
get_dig_eegs;;MEEG;Orga;PP-Trigger;False;False;;trigger_funcs;;meeg,n_eeg_channels,eeg_dig_first
plot_evokeds_pltest_overview;;Group;Plot;PP-Trigger;False;False;;trigger_funcs;;group
manual_trigger_gui;;Other;Orga;PP-Trigger;False;True;;trigger_funcs;;mw
rereference_eog;;MEEG;Orga;PP-Trigger;False;False;;trigger_funcs;;meeg,eog_tuple
plot_lc_reg_raw;;MEEG;Plot;PP-Trigger;True;False;;trigger_funcs;;meeg, show_plots
plot_lc_reg_ave;;MEEG;Plot;PP-Trigger;True;False;;trigger_funcs;;meeg,trig_plt_time,show_plots,apply_savgol
adjust_scales_lc_tests;;MEEG;Compute;PP-Trigger;False;False;;trigger_funcs;;meeg
plot_lc_latencies;;Group;Plot;PP-Trigger;True;False;;trigger_funcs;;group,show_plots
plot_load_cell_group_ave;;Other;Plot;PP-Trigger;True;False;;trigger_funcs;;mw,trig_plt_time,baseline_limit,show_plots,apply_savgol
get_velo_trigger;;MEEG;Compute;PP-Trigger;False;False;;trigger_funcs;;meeg
add_lc_events_meta;;MEEG;Compute;PP-Trigger;False;False;;trigger_funcs;;meeg
select_events_meta;;MEEG;Compute;Evoked;False;False;;trigger_funcs;;meeg,meta_queries
get_ratings;;MEEG;Compute;Events;False;False;;trigger_funcs;;meeg,target_event_id
add_ratings_meta;;MEEG;Compute;Epochs;False;False;;trigger_funcs;;meeg
select_ratings;;MEEG;Compute;Evoked;False;False;;trigger_funcs;;meeg
select_load_cell;;MEEG;Compute;Evoked;False;False;;trigger_funcs;;meeg
remove_metadata;;MEEG;Compute;Epochs;False;False;;trigger_funcs;;meeg
plot_group_ratings;;Group;Plot;Ratings;True;False;;trigger_funcs;;group,show_plots
plot_ratings_comparision;;Group;Plot;Ratings;True;False;;trigger_funcs;;group, show_plots
plot_group_lc_coef;;Group;Plot;PP-Trigger;True;False;;trigger_funcs;;group,show_plots
plot_coef_comparision;;Group;Plot;PP-Trigger;False;False;;trigger_funcs;;group, show_plots
